Generated by http://statistics.gov.scot,2022-08-01T11:46:37+00:00,
http://statistics.gov.scot/id/statistical-geography/S01012780,Burnbank North - 07,15
http://statistics.gov.scot/id/statistical-geography/S01012788,Burnbank South and Chantinghall - 01,9
http://statistics.gov.scot/id/statistical-geography/S01012789,Burnbank South and Chantinghall - 02,6
http://statistics.gov.scot/id/statistical-geography/S01012790,Burnbank South and Chantinghall - 03,11
http://statistics.gov.scot/id/statistical-geography/S01012791,Burnbank South and Chantinghall - 04,9
http://statistics.gov.scot/id/statistical-geography/S01012792,Burnbank South and Chantinghall - 05,20
http://statistics.gov.scot/id/statistical-geography/S01012865,Burnhill and Bankhead North - 01,10
http://statistics.gov.scot/id/statistical-geography/S01012866,Burnhill and Bankhead North - 02,14
http://statistics.gov.scot/id/statistical-geography/S01012867,Burnhill and Bankhead North - 03,15
http://statistics.gov.scot/id/statistical-geography/S01012868,Burnhill and Bankhead North - 04,15
http://statistics.gov.scot/id/statistical-geography/S01012869,Burnhill and Bankhead North - 05,14
http://statistics.gov.scot/id/statistical-geography/S01012882,Burnside and Springhall - 01,11
http://statistics.gov.scot/id/statistical-geography/S01012883,Burnside and Springhall - 02,11
http://statistics.gov.scot/id/statistical-geography/S01012884,Burnside and Springhall - 03,10
http://statistics.gov.scot/id/statistical-geography/S01012885,Burnside and Springhall - 04,12
http://statistics.gov.scot/id/statistical-geography/S01012886,Burnside and Springhall - 05,8
http://statistics.gov.scot/id/statistical-geography/S01012887,Burnside and Springhall - 06,16
http://statistics.gov.scot/id/statistical-geography/S01012888,Burnside and Springhall - 07,14
http://statistics.gov.scot/id/statistical-geography/S01009458,Burntisland Central,16
http://statistics.gov.scot/id/statistical-geography/S01009460,Burntisland Docks,9
http://statistics.gov.scot/id/statistical-geography/S01009466,Burntisland East,10
http://statistics.gov.scot/id/statistical-geography/S01009464,Burntisland East Toll,12
http://statistics.gov.scot/id/statistical-geography/S01009462,Burntisland Grange and Orrock,4
http://statistics.gov.scot/id/statistical-geography/S01009461,Burntisland Kirkton,9
http://statistics.gov.scot/id/statistical-geography/S01009459,Burntisland Links,19
http://statistics.gov.scot/id/statistical-geography/S01009465,Burntisland Meadowfield,10
http://statistics.gov.scot/id/statistical-geography/S01009463,Burntisland Nether Grange,8
http://statistics.gov.scot/id/statistical-geography/S01008366,Busby - 01,12
http://statistics.gov.scot/id/statistical-geography/S01008367,Busby - 02,19
http://statistics.gov.scot/id/statistical-geography/S01008368,Busby - 03,8
http://statistics.gov.scot/id/statistical-geography/S01008369,Busby - 04,6
http://statistics.gov.scot/id/statistical-geography/S01008370,Busby - 05,9
http://statistics.gov.scot/id/statistical-geography/S01007340,Bute - 01,4
http://statistics.gov.scot/id/statistical-geography/S01007341,Bute - 02,5
http://statistics.gov.scot/id/statistical-geography/S01007342,Bute - 03,4
http://statistics.gov.scot/id/statistical-geography/S01007343,Bute - 04,1
http://statistics.gov.scot/id/statistical-geography/S01009600,Cadham,7
http://statistics.gov.scot/id/statistical-geography/S01009601,Cadham South,11
http://statistics.gov.scot/id/statistical-geography/S01007807,Caird Park - 01,5
http://statistics.gov.scot/id/statistical-geography/S01007808,Caird Park - 02,14
http://statistics.gov.scot/id/statistical-geography/S01007809,Caird Park - 03,11
http://statistics.gov.scot/id/statistical-geography/S01007810,Caird Park - 04,17
http://statistics.gov.scot/id/statistical-geography/S01009284,Cairneyhill East,7
http://statistics.gov.scot/id/statistical-geography/S01009285,Cairneyhill North,4
http://statistics.gov.scot/id/statistical-geography/S01009286,Cairneyhill West,5
http://statistics.gov.scot/id/statistical-geography/S01011641,Cairnhill - 01,6
http://statistics.gov.scot/id/statistical-geography/S01011642,Cairnhill - 02,6
http://statistics.gov.scot/id/statistical-geography/S01011643,Cairnhill - 03,15
http://statistics.gov.scot/id/statistical-geography/S01011644,Cairnhill - 04,12
http://statistics.gov.scot/id/statistical-geography/S01011645,Cairnhill - 05,9
http://statistics.gov.scot/id/statistical-geography/S01011646,Cairnhill - 06,5
http://statistics.gov.scot/id/statistical-geography/S01011647,Cairnhill - 07,3
http://statistics.gov.scot/id/statistical-geography/S01009730,Cairnsmill,15
http://statistics.gov.scot/id/statistical-geography/S01010787,Caithness North East - 01,2
http://statistics.gov.scot/id/statistical-geography/S01010788,Caithness North East - 02,2
http://statistics.gov.scot/id/statistical-geography/S01010789,Caithness North East - 03,1
http://statistics.gov.scot/id/statistical-geography/S01010790,Caithness North East - 04,2
http://statistics.gov.scot/id/statistical-geography/S01010791,Caithness North East - 05,1
http://statistics.gov.scot/id/statistical-geography/S01010792,Caithness North West - 01,13
http://statistics.gov.scot/id/statistical-geography/S01010793,Caithness North West - 02,2
http://statistics.gov.scot/id/statistical-geography/S01010794,Caithness North West - 03,2
http://statistics.gov.scot/id/statistical-geography/S01010795,Caithness North West - 04,7
http://statistics.gov.scot/id/statistical-geography/S01010796,Caithness North West - 05,1
http://statistics.gov.scot/id/statistical-geography/S01010797,Caithness North West - 06,2
http://statistics.gov.scot/id/statistical-geography/S01010798,Caithness North West - 07,1
http://statistics.gov.scot/id/statistical-geography/S01010772,Caithness South - 01,1
http://statistics.gov.scot/id/statistical-geography/S01010773,Caithness South - 02,2
http://statistics.gov.scot/id/statistical-geography/S01010774,Caithness South - 03,3
http://statistics.gov.scot/id/statistical-geography/S01010775,Caithness South - 04,3
http://statistics.gov.scot/id/statistical-geography/S01011613,Calderbank and Brownsburn - 01,4
http://statistics.gov.scot/id/statistical-geography/S01011614,Calderbank and Brownsburn - 02,15
http://statistics.gov.scot/id/statistical-geography/S01011615,Calderbank and Brownsburn - 03,7
http://statistics.gov.scot/id/statistical-geography/S01011616,Calderbank and Brownsburn - 04,10
http://statistics.gov.scot/id/statistical-geography/S01011675,Caldercruix and Plains - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011676,Caldercruix and Plains - 02,11
http://statistics.gov.scot/id/statistical-geography/S01011677,Caldercruix and Plains - 03,3
http://statistics.gov.scot/id/statistical-geography/S01011678,Caldercruix and Plains - 04,10
http://statistics.gov.scot/id/statistical-geography/S01011679,Caldercruix and Plains - 05,3
http://statistics.gov.scot/id/statistical-geography/S01011680,Caldercruix and Plains - 06,4
http://statistics.gov.scot/id/statistical-geography/S01011681,Caldercruix and Plains - 07,2
http://statistics.gov.scot/id/statistical-geography/S01011682,Caldercruix and Plains - 08,2
http://statistics.gov.scot/id/statistical-geography/S01012906,Calderwood Central - 01,11
http://statistics.gov.scot/id/statistical-geography/S01012907,Calderwood Central - 02,19
http://statistics.gov.scot/id/statistical-geography/S01012908,Calderwood Central - 03,19
http://statistics.gov.scot/id/statistical-geography/S01012909,Calderwood Central - 04,15
http://statistics.gov.scot/id/statistical-geography/S01012910,Calderwood Central - 05,15
http://statistics.gov.scot/id/statistical-geography/S01012901,Calderwood East - 01,8
http://statistics.gov.scot/id/statistical-geography/S01012902,Calderwood East - 02,10
http://statistics.gov.scot/id/statistical-geography/S01012903,Calderwood East - 03,10
http://statistics.gov.scot/id/statistical-geography/S01012904,Calderwood East - 04,14
http://statistics.gov.scot/id/statistical-geography/S01012905,Calderwood East - 05,7
http://statistics.gov.scot/id/statistical-geography/S01012911,Calderwood West and Nerston - 01,15
http://statistics.gov.scot/id/statistical-geography/S01012912,Calderwood West and Nerston - 02,20
http://statistics.gov.scot/id/statistical-geography/S01012913,Calderwood West and Nerston - 03,19
http://statistics.gov.scot/id/statistical-geography/S01012914,Calderwood West and Nerston - 04,11
http://statistics.gov.scot/id/statistical-geography/S01012915,Calderwood West and Nerston - 05,11
http://statistics.gov.scot/id/statistical-geography/S01013112,Callander and Trossachs - 01,18
http://statistics.gov.scot/id/statistical-geography/S01013113,Callander and Trossachs - 02,17
http://statistics.gov.scot/id/statistical-geography/S01013114,Callander and Trossachs - 03,2
http://statistics.gov.scot/id/statistical-geography/S01013115,Callander and Trossachs - 04,19
http://statistics.gov.scot/id/statistical-geography/S01013116,Callander and Trossachs - 05,10
http://statistics.gov.scot/id/statistical-geography/S01007601,Calside - 01,14
http://statistics.gov.scot/id/statistical-geography/S01007602,Calside - 02,14
http://statistics.gov.scot/id/statistical-geography/S01007603,Calside - 03,9
http://statistics.gov.scot/id/statistical-geography/S01007604,Calside - 04,7
http://statistics.gov.scot/id/statistical-geography/S01010037,Calton and Gallowgate - 01,18
http://statistics.gov.scot/id/statistical-geography/S01010038,Calton and Gallowgate - 02,13
http://statistics.gov.scot/id/statistical-geography/S01010039,Calton and Gallowgate - 03,6
http://statistics.gov.scot/id/statistical-geography/S01010040,Calton and Gallowgate - 04,13
http://statistics.gov.scot/id/statistical-geography/S01010041,Calton and Gallowgate - 05,6
http://statistics.gov.scot/id/statistical-geography/S01013019,Cambusbarron - 01,2
http://statistics.gov.scot/id/statistical-geography/S01013020,Cambusbarron - 02,7
http://statistics.gov.scot/id/statistical-geography/S01013021,Cambusbarron - 03,5
http://statistics.gov.scot/id/statistical-geography/S01013022,Cambusbarron - 04,6
http://statistics.gov.scot/id/statistical-geography/S01013023,Cambusbarron - 05,5
http://statistics.gov.scot/id/statistical-geography/S01013024,Cambusbarron - 06,4
http://statistics.gov.scot/id/statistical-geography/S01012843,Cambuslang Central - 01,12
http://statistics.gov.scot/id/statistical-geography/S01012844,Cambuslang Central - 02,14
http://statistics.gov.scot/id/statistical-geography/S01012845,Cambuslang Central - 03,17
http://statistics.gov.scot/id/statistical-geography/S01012846,Cambuslang Central - 04,20
http://statistics.gov.scot/id/statistical-geography/S01012847,Cambuslang Central - 05,17
http://statistics.gov.scot/id/statistical-geography/S01007333,Campbeltown - 01,8
http://statistics.gov.scot/id/statistical-geography/S01007334,Campbeltown - 02,18
http://statistics.gov.scot/id/statistical-geography/S01007335,Campbeltown - 03,12
http://statistics.gov.scot/id/statistical-geography/S01007336,Campbeltown - 04,20
http://statistics.gov.scot/id/statistical-geography/S01007337,Campbeltown - 05,19
http://statistics.gov.scot/id/statistical-geography/S01007338,Campbeltown - 06,16
http://statistics.gov.scot/id/statistical-geography/S01007339,Campbeltown - 07,14
http://statistics.gov.scot/id/statistical-geography/S01009731,Canongate,16
http://statistics.gov.scot/id/statistical-geography/S01008680,"Canongate, Southside and Dumbiedykes - 01",20
http://statistics.gov.scot/id/statistical-geography/S01008681,"Canongate, Southside and Dumbiedykes - 02",18
http://statistics.gov.scot/id/statistical-geography/S01008682,"Canongate, Southside and Dumbiedykes - 03",18
http://statistics.gov.scot/id/statistical-geography/S01008683,"Canongate, Southside and Dumbiedykes - 04",13
http://statistics.gov.scot/id/statistical-geography/S01008684,"Canongate, Southside and Dumbiedykes - 05",8
http://statistics.gov.scot/id/statistical-geography/S01008685,"Canongate, Southside and Dumbiedykes - 06",11
http://statistics.gov.scot/id/statistical-geography/S01008853,Canonmills and New Town North - 01,18
http://statistics.gov.scot/id/statistical-geography/S01008854,Canonmills and New Town North - 02,19
http://statistics.gov.scot/id/statistical-geography/S01008855,Canonmills and New Town North - 03,20
http://statistics.gov.scot/id/statistical-geography/S01008856,Canonmills and New Town North - 04,20
http://statistics.gov.scot/id/statistical-geography/S01009519,Capshard,10
http://statistics.gov.scot/id/statistical-geography/S01009438,Cardenden East,14
http://statistics.gov.scot/id/statistical-geography/S01009439,Cardenden West,9
http://statistics.gov.scot/id/statistical-geography/S01009810,Cardonald North - 01,15
http://statistics.gov.scot/id/statistical-geography/S01009811,Cardonald North - 02,17
http://statistics.gov.scot/id/statistical-geography/S01009812,Cardonald North - 03,19
http://statistics.gov.scot/id/statistical-geography/S01009813,Cardonald North - 04,13
http://statistics.gov.scot/id/statistical-geography/S01009814,Cardonald North - 05,18
http://statistics.gov.scot/id/statistical-geography/S01009806,Cardonald South and East - 01,17
http://statistics.gov.scot/id/statistical-geography/S01009807,Cardonald South and East - 02,13
http://statistics.gov.scot/id/statistical-geography/S01009808,Cardonald South and East - 03,9
http://statistics.gov.scot/id/statistical-geography/S01009809,Cardonald South and East - 04,13
http://statistics.gov.scot/id/statistical-geography/S01009815,Cardonald West and Central - 01,19
http://statistics.gov.scot/id/statistical-geography/S01009816,Cardonald West and Central - 02,19
http://statistics.gov.scot/id/statistical-geography/S01009817,Cardonald West and Central - 03,9
http://statistics.gov.scot/id/statistical-geography/S01009818,Cardonald West and Central - 04,17
http://statistics.gov.scot/id/statistical-geography/S01009819,Cardonald West and Central - 05,19
http://statistics.gov.scot/id/statistical-geography/S01009820,Cardonald West and Central - 06,19
http://statistics.gov.scot/id/statistical-geography/S01009821,Cardonald West and Central - 07,17
http://statistics.gov.scot/id/statistical-geography/S01011696,Cardowan and Millerston - 01,2
http://statistics.gov.scot/id/statistical-geography/S01011697,Cardowan and Millerston - 02,3
http://statistics.gov.scot/id/statistical-geography/S01011698,Cardowan and Millerston - 03,3
http://statistics.gov.scot/id/statistical-geography/S01011699,Cardowan and Millerston - 04,6
http://statistics.gov.scot/id/statistical-geography/S01011700,Cardowan and Millerston - 05,10
http://statistics.gov.scot/id/statistical-geography/S01012261,Cardrona,2
http://statistics.gov.scot/id/statistical-geography/S01011456,Carfin North - 01,13
http://statistics.gov.scot/id/statistical-geography/S01011457,Carfin North - 02,9
http://statistics.gov.scot/id/statistical-geography/S01011458,Carfin North - 03,12
http://statistics.gov.scot/id/statistical-geography/S01011459,Carfin North - 04,15
http://statistics.gov.scot/id/statistical-geography/S01011464,Carfin and Cleekhimin - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011465,Carfin and Cleekhimin - 02,10
http://statistics.gov.scot/id/statistical-geography/S01011466,Carfin and Cleekhimin - 03,14
http://statistics.gov.scot/id/statistical-geography/S01011467,Carfin and Cleekhimin - 04,8
http://statistics.gov.scot/id/statistical-geography/S01011468,Carfin and Cleekhimin - 05,6
http://statistics.gov.scot/id/statistical-geography/S01011469,Carfin and Cleekhimin - 06,4
http://statistics.gov.scot/id/statistical-geography/S01011470,Carfin and Cleekhimin - 07,6
http://statistics.gov.scot/id/statistical-geography/S01012244,Carlops Romannobridge,1
http://statistics.gov.scot/id/statistical-geography/S01012606,Carluke East - 01,2
http://statistics.gov.scot/id/statistical-geography/S01012607,Carluke East - 02,6
http://statistics.gov.scot/id/statistical-geography/S01012608,Carluke East - 03,10
http://statistics.gov.scot/id/statistical-geography/S01012609,Carluke East - 04,14
http://statistics.gov.scot/id/statistical-geography/S01012610,Carluke East - 05,16
http://statistics.gov.scot/id/statistical-geography/S01012602,Carluke North - 01,16
http://statistics.gov.scot/id/statistical-geography/S01012603,Carluke North - 02,14
http://statistics.gov.scot/id/statistical-geography/S01012604,Carluke North - 03,10
http://statistics.gov.scot/id/statistical-geography/S01012605,Carluke North - 04,9
http://statistics.gov.scot/id/statistical-geography/S01012611,Carluke South - 01,10
http://statistics.gov.scot/id/statistical-geography/S01012612,Carluke South - 02,7
http://statistics.gov.scot/id/statistical-geography/S01012613,Carluke South - 03,14
http://statistics.gov.scot/id/statistical-geography/S01012614,Carluke South - 04,13
http://statistics.gov.scot/id/statistical-geography/S01012598,Carluke West - 01,6
http://statistics.gov.scot/id/statistical-geography/S01012599,Carluke West - 02,11
http://statistics.gov.scot/id/statistical-geography/S01012600,Carluke West - 03,6
http://statistics.gov.scot/id/statistical-geography/S01012601,Carluke West - 04,11
http://statistics.gov.scot/id/statistical-geography/S01013346,Carmondean and Eliburn North - 01,6
http://statistics.gov.scot/id/statistical-geography/S01013347,Carmondean and Eliburn North - 02,9
http://statistics.gov.scot/id/statistical-geography/S01013348,Carmondean and Eliburn North - 03,5
http://statistics.gov.scot/id/statistical-geography/S01013349,Carmondean and Eliburn North - 04,12
http://statistics.gov.scot/id/statistical-geography/S01013350,Carmondean and Eliburn North - 05,20
http://statistics.gov.scot/id/statistical-geography/S01013351,Carmondean and Eliburn North - 06,18
http://statistics.gov.scot/id/statistical-geography/S01013352,Carmondean and Eliburn North - 07,17
http://statistics.gov.scot/id/statistical-geography/S01013353,Carmondean and Eliburn North - 08,19
http://statistics.gov.scot/id/statistical-geography/S01009965,Carmunnock North - 01,15
http://statistics.gov.scot/id/statistical-geography/S01009966,Carmunnock North - 02,16
http://statistics.gov.scot/id/statistical-geography/S01009967,Carmunnock North - 03,12
http://statistics.gov.scot/id/statistical-geography/S01009968,Carmunnock North - 04,19
http://statistics.gov.scot/id/statistical-geography/S01009969,Carmunnock South - 01,5
http://statistics.gov.scot/id/statistical-geography/S01009970,Carmunnock South - 02,17
http://statistics.gov.scot/id/statistical-geography/S01009971,Carmunnock South - 03,7
http://statistics.gov.scot/id/statistical-geography/S01009972,Carmunnock South - 04,8
http://statistics.gov.scot/id/statistical-geography/S01010074,Carmyle and Mount Vernon South - 01,12
http://statistics.gov.scot/id/statistical-geography/S01010075,Carmyle and Mount Vernon South - 02,9
http://statistics.gov.scot/id/statistical-geography/S01010076,Carmyle and Mount Vernon South - 03,16
http://statistics.gov.scot/id/statistical-geography/S01010077,Carmyle and Mount Vernon South - 04,12
http://statistics.gov.scot/id/statistical-geography/S01009307,Carnegie Drive,14
http://statistics.gov.scot/id/statistical-geography/S01009276,Carnock,4
http://statistics.gov.scot/id/statistical-geography/S01007163,Carnoustie East - 01,10
http://statistics.gov.scot/id/statistical-geography/S01007164,Carnoustie East - 02,14
http://statistics.gov.scot/id/statistical-geography/S01007165,Carnoustie East - 03,12
http://statistics.gov.scot/id/statistical-geography/S01007166,Carnoustie East - 04,6
http://statistics.gov.scot/id/statistical-geography/S01007167,Carnoustie East - 05,5
http://statistics.gov.scot/id/statistical-geography/S01007168,Carnoustie East - 06,4
http://statistics.gov.scot/id/statistical-geography/S01007169,Carnoustie East - 07,8
http://statistics.gov.scot/id/statistical-geography/S01007156,Carnoustie West - 01,4
http://statistics.gov.scot/id/statistical-geography/S01007157,Carnoustie West - 02,4
http://statistics.gov.scot/id/statistical-geography/S01007158,Carnoustie West - 03,4
http://statistics.gov.scot/id/statistical-geography/S01007159,Carnoustie West - 04,11
http://statistics.gov.scot/id/statistical-geography/S01007160,Carnoustie West - 05,8
http://statistics.gov.scot/id/statistical-geography/S01007161,Carnoustie West - 06,9
http://statistics.gov.scot/id/statistical-geography/S01007162,Carnoustie West - 07,12
http://statistics.gov.scot/id/statistical-geography/S01010152,Carntyne - 01,18
http://statistics.gov.scot/id/statistical-geography/S01010153,Carntyne - 02,13
http://statistics.gov.scot/id/statistical-geography/S01010154,Carntyne - 03,17
http://statistics.gov.scot/id/statistical-geography/S01010155,Carntyne - 04,19
http://statistics.gov.scot/id/statistical-geography/S01010242,Carntyne West and Haghill - 01,12
http://statistics.gov.scot/id/statistical-geography/S01010243,Carntyne West and Haghill - 02,14
http://statistics.gov.scot/id/statistical-geography/S01010244,Carntyne West and Haghill - 03,20
http://statistics.gov.scot/id/statistical-geography/S01010245,Carntyne West and Haghill - 04,10
http://statistics.gov.scot/id/statistical-geography/S01010246,Carntyne West and Haghill - 05,11
http://statistics.gov.scot/id/statistical-geography/S01010247,Carntyne West and Haghill - 06,11
http://statistics.gov.scot/id/statistical-geography/S01009944,Carnwadric East - 01,13
http://statistics.gov.scot/id/statistical-geography/S01009945,Carnwadric East - 02,10
http://statistics.gov.scot/id/statistical-geography/S01009946,Carnwadric East - 03,8
http://statistics.gov.scot/id/statistical-geography/S01009947,Carnwadric East - 04,15
http://statistics.gov.scot/id/statistical-geography/S01009939,Carnwadric West - 01,7
http://statistics.gov.scot/id/statistical-geography/S01009940,Carnwadric West - 02,17
http://statistics.gov.scot/id/statistical-geography/S01009941,Carnwadric West - 03,10
http://statistics.gov.scot/id/statistical-geography/S01009942,Carnwadric West - 04,12
http://statistics.gov.scot/id/statistical-geography/S01009943,Carnwadric West - 05,20
http://statistics.gov.scot/id/statistical-geography/S01008977,Carrick Knowe - 01,14
http://statistics.gov.scot/id/statistical-geography/S01008978,Carrick Knowe - 02,5
http://statistics.gov.scot/id/statistical-geography/S01008979,Carrick Knowe - 03,6
http://statistics.gov.scot/id/statistical-geography/S01008980,Carrick Knowe - 04,13
http://statistics.gov.scot/id/statistical-geography/S01012441,Carrick North - 01,1
http://statistics.gov.scot/id/statistical-geography/S01012442,Carrick North - 02,2
http://statistics.gov.scot/id/statistical-geography/S01012443,Carrick North - 03,2
http://statistics.gov.scot/id/statistical-geography/S01012444,Carrick North - 04,3
http://statistics.gov.scot/id/statistical-geography/S01012445,Carrick North - 05,5
http://statistics.gov.scot/id/statistical-geography/S01012417,Carrick South - 01,3
http://statistics.gov.scot/id/statistical-geography/S01012418,Carrick South - 02,1
http://statistics.gov.scot/id/statistical-geography/S01012419,Carrick South - 03,1
http://statistics.gov.scot/id/statistical-geography/S01012420,Carrick South - 04,3
http://statistics.gov.scot/id/statistical-geography/S01012421,Carrick South - 05,2
http://statistics.gov.scot/id/statistical-geography/S01012422,Carrick South - 06,2
http://statistics.gov.scot/id/statistical-geography/S01012423,Carrick South - 07,2
http://statistics.gov.scot/id/statistical-geography/S01011771,Carrickstone - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011772,Carrickstone - 02,4
http://statistics.gov.scot/id/statistical-geography/S01011773,Carrickstone - 03,4
http://statistics.gov.scot/id/statistical-geography/S01011774,Carrickstone - 04,5
http://statistics.gov.scot/id/statistical-geography/S01011775,Carrickstone - 05,5
http://statistics.gov.scot/id/statistical-geography/S01011776,Carrickstone - 06,4
http://statistics.gov.scot/id/statistical-geography/S01009113,Carron - 01,7
http://statistics.gov.scot/id/statistical-geography/S01009114,Carron - 02,11
http://statistics.gov.scot/id/statistical-geography/S01009115,Carron - 03,12
http://statistics.gov.scot/id/statistical-geography/S01009116,Carron - 04,7
http://statistics.gov.scot/id/statistical-geography/S01009117,Carronshore - 01,9
http://statistics.gov.scot/id/statistical-geography/S01009118,Carronshore - 02,7
http://statistics.gov.scot/id/statistical-geography/S01009119,Carronshore - 03,7
http://statistics.gov.scot/id/statistical-geography/S01009120,Carronshore - 04,7
http://statistics.gov.scot/id/statistical-geography/S01009121,Carse and Grangemouth Old Town - 01,5
http://statistics.gov.scot/id/statistical-geography/S01009122,Carse and Grangemouth Old Town - 02,2
http://statistics.gov.scot/id/statistical-geography/S01009123,Carse and Grangemouth Old Town - 03,3
http://statistics.gov.scot/id/statistical-geography/S01009124,Carse and Grangemouth Old Town - 04,4
http://statistics.gov.scot/id/statistical-geography/S01009125,Carse and Grangemouth Old Town - 05,4
http://statistics.gov.scot/id/statistical-geography/S01013106,Carse of Stirling - 01,19
http://statistics.gov.scot/id/statistical-geography/S01013107,Carse of Stirling - 02,3
http://statistics.gov.scot/id/statistical-geography/S01013108,Carse of Stirling - 03,4
http://statistics.gov.scot/id/statistical-geography/S01013109,Carse of Stirling - 04,1
http://statistics.gov.scot/id/statistical-geography/S01013110,Carse of Stirling - 05,1
http://statistics.gov.scot/id/statistical-geography/S01013111,Carse of Stirling - 06,2
http://statistics.gov.scot/id/statistical-geography/S01012581,"Carstairs, Carstairs Junction and Carnwath - 01",4
http://statistics.gov.scot/id/statistical-geography/S01012582,"Carstairs, Carstairs Junction and Carnwath - 02",2
http://statistics.gov.scot/id/statistical-geography/S01012583,"Carstairs, Carstairs Junction and Carnwath - 03",15
http://statistics.gov.scot/id/statistical-geography/S01012584,"Carstairs, Carstairs Junction and Carnwath - 04",4
http://statistics.gov.scot/id/statistical-geography/S01012585,"Carstairs, Carstairs Junction and Carnwath - 05",8
http://statistics.gov.scot/id/statistical-geography/S01012586,"Carstairs, Carstairs Junction and Carnwath - 06",2
http://statistics.gov.scot/id/statistical-geography/S01009566,Caskieberran East,5
http://statistics.gov.scot/id/statistical-geography/S01009567,Caskieberran West,6
http://statistics.gov.scot/id/statistical-geography/S01007534,Castle Douglas - 01,13
http://statistics.gov.scot/id/statistical-geography/S01007535,Castle Douglas - 02,14
http://statistics.gov.scot/id/statistical-geography/S01007536,Castle Douglas - 03,17
http://statistics.gov.scot/id/statistical-geography/S01007537,Castle Douglas - 04,15
http://statistics.gov.scot/id/statistical-geography/S01007538,Castle Douglas - 05,3
http://statistics.gov.scot/id/statistical-geography/S01012459,Castlehill and Kincaidston - 01,12
http://statistics.gov.scot/id/statistical-geography/S01012460,Castlehill and Kincaidston - 02,9
http://statistics.gov.scot/id/statistical-geography/S01012461,Castlehill and Kincaidston - 03,11
http://statistics.gov.scot/id/statistical-geography/S01012462,Castlehill and Kincaidston - 04,11
http://statistics.gov.scot/id/statistical-geography/S01012463,Castlehill and Kincaidston - 05,11
http://statistics.gov.scot/id/statistical-geography/S01012464,Castlehill and Kincaidston - 06,4
http://statistics.gov.scot/id/statistical-geography/S01012465,Castlehill and Kincaidston - 07,6
http://statistics.gov.scot/id/statistical-geography/S01009986,Castlemilk - 01,20
http://statistics.gov.scot/id/statistical-geography/S01009987,Castlemilk - 02,18
http://statistics.gov.scot/id/statistical-geography/S01009988,Castlemilk - 03,20
http://statistics.gov.scot/id/statistical-geography/S01009989,Castlemilk - 04,20
http://statistics.gov.scot/id/statistical-geography/S01009990,Castlemilk - 05,20
http://statistics.gov.scot/id/statistical-geography/S01009991,Castlemilk - 06,17
http://statistics.gov.scot/id/statistical-geography/S01009992,Castlemilk - 07,16
http://statistics.gov.scot/id/statistical-geography/S01010005,Cathcart - 01,19
http://statistics.gov.scot/id/statistical-geography/S01010006,Cathcart - 02,18
http://statistics.gov.scot/id/statistical-geography/S01010007,Cathcart - 03,19
http://statistics.gov.scot/id/statistical-geography/S01010008,Cathcart - 04,17
http://statistics.gov.scot/id/statistical-geography/S01010009,Cathcart - 05,19
http://statistics.gov.scot/id/statistical-geography/S01010010,Cathcart - 06,13
http://statistics.gov.scot/id/statistical-geography/S01013080,Causewayhead - 01,8
http://statistics.gov.scot/id/statistical-geography/S01013081,Causewayhead - 02,6
http://statistics.gov.scot/id/statistical-geography/S01013082,Causewayhead - 03,4
http://statistics.gov.scot/id/statistical-geography/S01010110,Central Easterhouse - 01,19
http://statistics.gov.scot/id/statistical-geography/S01010111,Central Easterhouse - 02,15
http://statistics.gov.scot/id/statistical-geography/S01010112,Central Easterhouse - 03,14
http://statistics.gov.scot/id/statistical-geography/S01012402,Central Shetland - 01,1
http://statistics.gov.scot/id/statistical-geography/S01012403,Central Shetland - 02,2
http://statistics.gov.scot/id/statistical-geography/S01012404,Central Shetland - 03,13
http://statistics.gov.scot/id/statistical-geography/S01012405,Central Shetland - 04,1
http://statistics.gov.scot/id/statistical-geography/S01011938,Central and South Inch - 01,8
http://statistics.gov.scot/id/statistical-geography/S01011939,Central and South Inch - 02,12
http://statistics.gov.scot/id/statistical-geography/S01011940,Central and South Inch - 03,15
http://statistics.gov.scot/id/statistical-geography/S01011941,Central and South Inch - 04,14
http://statistics.gov.scot/id/statistical-geography/S01011942,Central and South Inch - 05,17
http://statistics.gov.scot/id/statistical-geography/S01011943,Central and South Inch - 06,18
http://statistics.gov.scot/id/statistical-geography/S01009695,Ceres East and Pitscottie,2
http://statistics.gov.scot/id/statistical-geography/S01009520,Chapel,9
http://statistics.gov.scot/id/statistical-geography/S01009518,Chapel Moss,6
http://statistics.gov.scot/id/statistical-geography/S01011620,Chapelhall East - 01,2
http://statistics.gov.scot/id/statistical-geography/S01011621,Chapelhall East - 02,8
http://statistics.gov.scot/id/statistical-geography/S01011622,Chapelhall East - 03,2
http://statistics.gov.scot/id/statistical-geography/S01011623,Chapelhall East - 04,12
http://statistics.gov.scot/id/statistical-geography/S01011624,Chapelhall East - 05,7
http://statistics.gov.scot/id/statistical-geography/S01011617,Chapelhall West - 01,5
http://statistics.gov.scot/id/statistical-geography/S01011618,Chapelhall West - 02,6
http://statistics.gov.scot/id/statistical-geography/S01011619,Chapelhall West - 03,6
http://statistics.gov.scot/id/statistical-geography/S01009516,Chapelhill and Torbain,13
http://statistics.gov.scot/id/statistical-geography/S01012695,"Chapelton, Glengavel and Sandford - 01",2
